epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1100.96,1.32525,1.39192,1.78857,0.56692,0.72168,0.67331,0.43177,1.45031,1.31904,1.96868,0.007162,0.007162,0.007162
45,1127.51,1.31831,1.37074,1.7691,0.60407,0.68753,0.67897,0.41882,1.47597,1.3237,1.99277,0.007096,0.007096,0.007096
46,1154.46,1.32791,1.37134,1.78293,0.56944,0.73184,0.69179,0.42068,1.45836,1.31176,1.98248,0.00703,0.00703,0.00703
47,1179.25,1.32026,1.36219,1.77237,0.62404,0.70143,0.69742,0.43954,1.46325,1.29397,1.9818,0.006964,0.006964,0.006964
48,1204.63,1.319,1.36266,1.77456,0.64208,0.65337,0.68511,0.42576,1.44868,1.30567,1.99028,0.006898,0.006898,0.006898
49,1230.48,1.30774,1.33988,1.7622,0.65313,0.67889,0.68737,0.43296,1.43243,1.27794,1.95174,0.006832,0.006832,0.006832
50,1255.09,1.30898,1.35295,1.77141,0.59962,0.69297,0.68062,0.43264,1.45352,1.28721,1.97167,0.006766,0.006766,0.006766
51,1280.73,1.30562,1.33612,1.75688,0.58761,0.70821,0.67848,0.43302,1.46254,1.31127,1.98741,0.0067,0.0067,0.0067
52,1306.77,1.30624,1.32916,1.75873,0.62859,0.70079,0.6976,0.43264,1.46944,1.27836,1.96027,0.006634,0.006634,0.006634
53,1332.84,1.2886,1.31371,1.74221,0.68657,0.61914,0.68471,0.43682,1.44381,1.28591,1.98331,0.006568,0.006568,0.006568
54,1357.84,1.29438,1.31905,1.75105,0.64811,0.66515,0.6789,0.42775,1.44884,1.27676,1.96324,0.006502,0.006502,0.006502
55,1382.13,1.29174,1.28725,1.73536,0.63744,0.68522,0.7077,0.45647,1.45941,1.25354,1.95365,0.006436,0.006436,0.006436
56,1405.62,1.28541,1.30717,1.73586,0.62034,0.70377,0.70306,0.45329,1.41395,1.25141,1.92129,0.00637,0.00637,0.00637
57,1430.36,1.28593,1.29563,1.73869,0.60165,0.71342,0.69387,0.44338,1.44657,1.26328,1.96859,0.006304,0.006304,0.006304
58,1454.91,1.28592,1.30107,1.73547,0.53852,0.75105,0.66679,0.42297,1.44053,1.31192,1.97597,0.006238,0.006238,0.006238
59,1479.94,1.26858,1.27132,1.73207,0.65774,0.69761,0.70492,0.45453,1.40909,1.23789,1.91932,0.006172,0.006172,0.006172
60,1504.89,1.2739,1.27412,1.72555,0.64491,0.68474,0.69701,0.45074,1.45286,1.22919,1.94064,0.006106,0.006106,0.006106
61,1530.01,1.2662,1.27357,1.72122,0.61991,0.72399,0.69404,0.45345,1.44235,1.25247,1.94936,0.00604,0.00604,0.00604
62,1554.71,1.26565,1.26358,1.71751,0.57483,0.73785,0.69239,0.44839,1.45756,1.22979,1.9569,0.005974,0.005974,0.005974
63,1579.4,1.25762,1.26373,1.71549,0.59417,0.71137,0.6942,0.45072,1.46186,1.24594,1.95208,0.005908,0.005908,0.005908
64,1604,1.25783,1.24887,1.70698,0.66468,0.71254,0.70873,0.4555,1.44838,1.20805,1.92361,0.005842,0.005842,0.005842
65,1627.93,1.24535,1.23667,1.70327,0.63416,0.67359,0.69892,0.45436,1.46119,1.26761,1.96567,0.005776,0.005776,0.005776
66,1653.83,1.25208,1.23582,1.69925,0.63505,0.73232,0.72228,0.46528,1.43541,1.20591,1.9341,0.00571,0.00571,0.00571
67,1679.35,1.24277,1.23108,1.69406,0.64184,0.66812,0.69738,0.45025,1.44489,1.23716,1.94987,0.005644,0.005644,0.005644
68,1703.05,1.24898,1.22497,1.69862,0.60135,0.74148,0.71845,0.46272,1.44436,1.2102,1.93648,0.005578,0.005578,0.005578
69,1726.49,1.24007,1.23464,1.69569,0.62665,0.74202,0.7255,0.46952,1.44754,1.20627,1.95934,0.005512,0.005512,0.005512
70,1751.28,1.23468,1.22693,1.69222,0.63816,0.68013,0.70069,0.44001,1.48184,1.27007,2.00047,0.005446,0.005446,0.005446
71,1774.94,1.2262,1.21595,1.68268,0.60267,0.75115,0.71303,0.44613,1.46387,1.21834,1.95426,0.00538,0.00538,0.00538
72,1799.48,1.23067,1.20486,1.67634,0.6253,0.68683,0.69948,0.44141,1.4766,1.23397,1.96973,0.005314,0.005314,0.005314
73,1825.54,1.22847,1.20852,1.67805,0.62751,0.67602,0.70805,0.44318,1.44594,1.24067,1.93051,0.005248,0.005248,0.005248
74,1850.05,1.21907,1.18604,1.66556,0.59512,0.73465,0.70473,0.45503,1.45077,1.20801,1.95541,0.005182,0.005182,0.005182
75,1873.91,1.23006,1.18757,1.66849,0.65544,0.68173,0.71719,0.45149,1.46684,1.21077,1.9602,0.005116,0.005116,0.005116
76,1898.12,1.21441,1.18369,1.66299,0.61616,0.68889,0.7082,0.45039,1.48153,1.22337,1.98717,0.00505,0.00505,0.00505
77,1922.3,1.21122,1.17436,1.65878,0.65055,0.68908,0.72094,0.46579,1.46178,1.19981,1.95594,0.004984,0.004984,0.004984
78,1947.69,1.20846,1.16115,1.65732,0.67395,0.68015,0.7204,0.45958,1.47245,1.24164,1.96482,0.004918,0.004918,0.004918
79,1974.21,1.21389,1.17244,1.65561,0.64187,0.68533,0.70921,0.45989,1.47889,1.22225,1.98191,0.004852,0.004852,0.004852
80,1999.07,1.20037,1.15841,1.64281,0.67248,0.67279,0.70457,0.4366,1.47674,1.26149,1.97181,0.004786,0.004786,0.004786
81,2023.37,1.19864,1.16477,1.64566,0.61452,0.73935,0.70801,0.45228,1.46462,1.24669,1.96268,0.00472,0.00472,0.00472
82,2047.53,1.19846,1.16008,1.65054,0.60886,0.70017,0.69009,0.44134,1.48172,1.23184,1.97976,0.004654,0.004654,0.004654
83,2072.74,1.19642,1.14868,1.63638,0.62426,0.71156,0.7025,0.4417,1.46489,1.22555,1.95791,0.004588,0.004588,0.004588
84,2098.55,1.18714,1.13934,1.63304,0.64196,0.67855,0.70443,0.44101,1.49786,1.23531,1.98215,0.004522,0.004522,0.004522
85,2124.91,1.18978,1.14285,1.63533,0.61715,0.72052,0.68902,0.43621,1.48872,1.23502,1.98847,0.004456,0.004456,0.004456
86,2151.58,1.19313,1.14225,1.63518,0.65024,0.68721,0.70705,0.44242,1.47732,1.21204,1.96087,0.00439,0.00439,0.00439
87,2178.03,1.17794,1.14103,1.62213,0.65733,0.64128,0.69376,0.44526,1.4944,1.23858,1.99185,0.004324,0.004324,0.004324
88,2201.95,1.17495,1.12053,1.6174,0.65684,0.68395,0.70462,0.44929,1.47226,1.20835,1.96898,0.004258,0.004258,0.004258
89,2226.09,1.17461,1.12093,1.6241,0.63801,0.70071,0.70601,0.45744,1.46966,1.17882,1.95885,0.004192,0.004192,0.004192
