epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1120.29,1.33673,1.39781,1.77588,0.63081,0.70245,0.6801,0.43638,1.42645,1.33108,1.93209,0.007162,0.007162,0.007162
45,1145.49,1.32641,1.36966,1.75384,0.63514,0.65239,0.67149,0.41683,1.46586,1.34936,1.95932,0.007096,0.007096,0.007096
46,1170.78,1.32721,1.36538,1.76011,0.58862,0.67839,0.65729,0.42743,1.43009,1.32464,1.91428,0.00703,0.00703,0.00703
47,1195.68,1.32107,1.36118,1.75286,0.57309,0.70582,0.67577,0.44089,1.44165,1.32397,1.93694,0.006964,0.006964,0.006964
48,1221.25,1.32358,1.35798,1.75516,0.605,0.68487,0.69174,0.44375,1.45436,1.29895,1.94311,0.006898,0.006898,0.006898
49,1246.19,1.31251,1.34066,1.74721,0.6086,0.67519,0.67252,0.42351,1.42157,1.27837,1.92088,0.006832,0.006832,0.006832
50,1271.27,1.30863,1.35,1.75074,0.58473,0.65496,0.66796,0.42595,1.43299,1.27651,1.92948,0.006766,0.006766,0.006766
51,1297.29,1.30776,1.33915,1.73579,0.62122,0.68351,0.68445,0.43772,1.42227,1.28534,1.89605,0.0067,0.0067,0.0067
52,1322.29,1.30921,1.3348,1.73649,0.5772,0.69867,0.69479,0.4359,1.41915,1.26613,1.89592,0.006634,0.006634,0.006634
53,1347.9,1.29293,1.31824,1.72739,0.60111,0.71084,0.68221,0.43818,1.41576,1.28352,1.89682,0.006568,0.006568,0.006568
54,1372.98,1.30021,1.32427,1.73425,0.6495,0.66649,0.67934,0.42145,1.44878,1.29308,1.9305,0.006502,0.006502,0.006502
55,1398.16,1.28904,1.29096,1.71167,0.68829,0.64319,0.67545,0.42902,1.47126,1.30578,1.9324,0.006436,0.006436,0.006436
56,1422.93,1.29073,1.30985,1.72014,0.59908,0.68997,0.67973,0.42939,1.41311,1.2758,1.88283,0.00637,0.00637,0.00637
57,1448.6,1.29142,1.29621,1.71725,0.62959,0.65976,0.67001,0.4349,1.40712,1.26458,1.89323,0.006304,0.006304,0.006304
58,1473.45,1.29104,1.30978,1.7175,0.55702,0.74464,0.67857,0.43906,1.42462,1.30196,1.91545,0.006238,0.006238,0.006238
59,1499.04,1.2743,1.27928,1.7135,0.59287,0.71185,0.68691,0.4357,1.43901,1.26187,1.92561,0.006172,0.006172,0.006172
60,1524.37,1.27667,1.27562,1.70277,0.59797,0.73671,0.70881,0.45233,1.39549,1.24471,1.87627,0.006106,0.006106,0.006106
61,1549.39,1.26747,1.27373,1.70018,0.57389,0.714,0.67881,0.44494,1.43187,1.26923,1.91007,0.00604,0.00604,0.00604
62,1575.17,1.26797,1.26755,1.69407,0.61294,0.7147,0.69814,0.44816,1.45251,1.27578,1.93318,0.005974,0.005974,0.005974
63,1600.96,1.26408,1.2715,1.69894,0.64896,0.66807,0.7055,0.4556,1.44962,1.26228,1.91199,0.005908,0.005908,0.005908
64,1626.67,1.26624,1.25351,1.69315,0.63256,0.7134,0.70176,0.45502,1.44267,1.23017,1.89884,0.005842,0.005842,0.005842
65,1652.61,1.25595,1.23984,1.6905,0.61373,0.71171,0.69596,0.44034,1.46332,1.25098,1.93558,0.005776,0.005776,0.005776
66,1678.29,1.25465,1.24141,1.67682,0.63493,0.7068,0.70222,0.45097,1.44523,1.24042,1.90977,0.00571,0.00571,0.00571
67,1704.49,1.24653,1.23589,1.6773,0.63662,0.70078,0.70567,0.45416,1.43256,1.22061,1.89559,0.005644,0.005644,0.005644
68,1729.33,1.25044,1.2356,1.68403,0.58835,0.75614,0.70045,0.44759,1.43323,1.24096,1.89378,0.005578,0.005578,0.005578
69,1754.29,1.24696,1.2432,1.67811,0.58648,0.74414,0.69759,0.44253,1.43909,1.24891,1.91629,0.005512,0.005512,0.005512
70,1778.96,1.24504,1.23764,1.68242,0.61687,0.71167,0.69662,0.43447,1.47051,1.2672,1.96448,0.005446,0.005446,0.005446
71,1803.84,1.23313,1.22324,1.67048,0.5929,0.73586,0.70369,0.45542,1.42062,1.1978,1.88269,0.00538,0.00538,0.00538
72,1828.67,1.23186,1.20514,1.66071,0.55918,0.73048,0.68191,0.44673,1.44351,1.23738,1.91741,0.005314,0.005314,0.005314
73,1854.66,1.22983,1.21123,1.6578,0.61264,0.6975,0.68737,0.44652,1.44018,1.21279,1.91162,0.005248,0.005248,0.005248
74,1879.5,1.22446,1.19758,1.65681,0.60578,0.6839,0.68184,0.43007,1.46396,1.23477,1.93213,0.005182,0.005182,0.005182
75,1904.29,1.23029,1.19029,1.65074,0.5995,0.72335,0.71063,0.44889,1.44101,1.22503,1.91279,0.005116,0.005116,0.005116
76,1930.02,1.21523,1.18755,1.64298,0.62161,0.72963,0.71649,0.45146,1.44827,1.22893,1.91414,0.00505,0.00505,0.00505
77,1956.36,1.21382,1.18333,1.64329,0.61525,0.72408,0.71227,0.44577,1.45905,1.20521,1.91906,0.004984,0.004984,0.004984
78,1981.98,1.20748,1.17527,1.6386,0.63623,0.67102,0.69794,0.44262,1.46005,1.23838,1.95015,0.004918,0.004918,0.004918
79,2007.83,1.21934,1.18293,1.64496,0.56649,0.7371,0.69394,0.44849,1.42749,1.23954,1.91745,0.004852,0.004852,0.004852
80,2033.84,1.20385,1.16642,1.63172,0.63553,0.66377,0.70418,0.44918,1.43268,1.26044,1.91835,0.004786,0.004786,0.004786
81,2059.49,1.20182,1.16665,1.63597,0.59885,0.71591,0.71545,0.46155,1.46182,1.22811,1.94569,0.00472,0.00472,0.00472
82,2085.79,1.20774,1.17053,1.63975,0.62948,0.68743,0.70624,0.45043,1.44931,1.21388,1.91395,0.004654,0.004654,0.004654
83,2112.53,1.20051,1.1501,1.62771,0.62929,0.67734,0.68189,0.4391,1.45053,1.22825,1.92979,0.004588,0.004588,0.004588
84,2137.37,1.19379,1.14753,1.6217,0.59691,0.73972,0.68898,0.44581,1.43337,1.23512,1.89935,0.004522,0.004522,0.004522
85,2163.27,1.19675,1.14917,1.62323,0.58402,0.7222,0.673,0.42446,1.47042,1.24358,1.94839,0.004456,0.004456,0.004456
86,2188.55,1.19964,1.14964,1.62682,0.58804,0.72746,0.69012,0.43855,1.44814,1.2109,1.91975,0.00439,0.00439,0.00439
87,2213.69,1.18504,1.14985,1.61486,0.59106,0.72292,0.70332,0.44571,1.45651,1.213,1.93115,0.004324,0.004324,0.004324
88,2238.93,1.18661,1.13411,1.61174,0.6048,0.73667,0.71069,0.45314,1.45516,1.21418,1.92753,0.004258,0.004258,0.004258
89,2263.79,1.18462,1.13182,1.6137,0.61221,0.72942,0.70236,0.43928,1.47843,1.23107,1.95859,0.004192,0.004192,0.004192
90,2288.36,1.17347,1.12152,1.6026,0.6238,0.70709,0.71018,0.44386,1.46496,1.21398,1.94166,0.004126,0.004126,0.004126
91,2312.65,1.17511,1.12282,1.60824,0.62439,0.71414,0.70023,0.43901,1.46622,1.20863,1.95014,0.00406,0.00406,0.00406
92,2338.08,1.1664,1.11548,1.59752,0.58891,0.74714,0.71051,0.44066,1.47259,1.19818,1.94652,0.003994,0.003994,0.003994
93,2363.63,1.16762,1.09804,1.59269,0.61765,0.68809,0.70218,0.44126,1.4844,1.19754,1.95145,0.003928,0.003928,0.003928
94,2389.72,1.16237,1.0991,1.59476,0.60072,0.72781,0.70448,0.44177,1.46976,1.21846,1.94027,0.003862,0.003862,0.003862
95,2416.46,1.15793,1.10157,1.59011,0.59078,0.75516,0.69383,0.43459,1.47576,1.21358,1.94736,0.003796,0.003796,0.003796
96,2442.48,1.16088,1.08474,1.58844,0.56339,0.75918,0.6919,0.43661,1.48557,1.22488,1.94551,0.00373,0.00373,0.00373
97,2466.8,1.15266,1.09227,1.58603,0.6224,0.71628,0.71123,0.44386,1.49764,1.21161,1.97133,0.003664,0.003664,0.003664
98,2493.15,1.15255,1.07814,1.57848,0.55892,0.73344,0.69811,0.43995,1.48661,1.23144,1.96802,0.003598,0.003598,0.003598
99,2520.18,1.15228,1.08259,1.57793,0.65761,0.6985,0.71966,0.44953,1.47023,1.20777,1.93265,0.003532,0.003532,0.003532
100,2545.51,1.14368,1.07504,1.57239,0.63166,0.64529,0.69069,0.43523,1.48649,1.23196,1.96163,0.003466,0.003466,0.003466
101,2570.99,1.14435,1.07879,1.57126,0.65002,0.68473,0.70405,0.43954,1.48762,1.2014,1.96738,0.0034,0.0034,0.0034
