epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1199.75,1.34268,1.41775,1.76423,0.59348,0.66675,0.65269,0.4057,1.42821,1.30977,1.89496,0.007162,0.007162,0.007162
45,1227.03,1.33439,1.39471,1.74511,0.61811,0.6645,0.6724,0.42153,1.44343,1.3347,1.89314,0.007096,0.007096,0.007096
46,1253.14,1.33889,1.39203,1.74858,0.61001,0.67852,0.66972,0.41985,1.46522,1.32864,1.90164,0.00703,0.00703,0.00703
47,1279.57,1.3364,1.38258,1.74273,0.60771,0.72229,0.68639,0.43147,1.43986,1.3306,1.88356,0.006964,0.006964,0.006964
48,1307.08,1.33079,1.38514,1.74347,0.61288,0.70684,0.69951,0.43629,1.42999,1.3136,1.88449,0.006898,0.006898,0.006898
49,1332.91,1.32717,1.37416,1.74091,0.59471,0.68897,0.67051,0.43461,1.40518,1.29652,1.85064,0.006832,0.006832,0.006832
50,1358.44,1.32316,1.37866,1.73982,0.66926,0.64571,0.68653,0.43163,1.44143,1.28791,1.88189,0.006766,0.006766,0.006766
51,1386.1,1.3162,1.36705,1.7251,0.59947,0.74278,0.68712,0.42684,1.43942,1.30187,1.88837,0.0067,0.0067,0.0067
52,1411.93,1.32119,1.35866,1.72778,0.63527,0.6874,0.69704,0.43565,1.42714,1.24916,1.8738,0.006634,0.006634,0.006634
53,1438.88,1.31266,1.34228,1.7224,0.62317,0.69203,0.66815,0.42933,1.43531,1.28079,1.8922,0.006568,0.006568,0.006568
54,1465.67,1.31227,1.35286,1.72623,0.63977,0.67515,0.67882,0.42462,1.45165,1.29254,1.90615,0.006502,0.006502,0.006502
55,1492.82,1.30191,1.32151,1.70587,0.628,0.71613,0.69801,0.43714,1.42197,1.25863,1.8576,0.006436,0.006436,0.006436
56,1520.01,1.30837,1.33675,1.71354,0.58829,0.70972,0.67875,0.42764,1.39801,1.27651,1.85411,0.00637,0.00637,0.00637
57,1547.72,1.3038,1.33258,1.71226,0.62628,0.64283,0.68967,0.43937,1.38848,1.23862,1.83757,0.006304,0.006304,0.006304
58,1574.39,1.30253,1.33952,1.71055,0.62132,0.71061,0.70535,0.44381,1.41358,1.2962,1.87118,0.006238,0.006238,0.006238
59,1601.02,1.29199,1.30578,1.70916,0.64802,0.63948,0.68666,0.42409,1.4193,1.26114,1.85325,0.006172,0.006172,0.006172
60,1626.73,1.29466,1.31045,1.69844,0.60561,0.72097,0.69482,0.42881,1.42428,1.24006,1.85469,0.006106,0.006106,0.006106
61,1652.41,1.28205,1.30755,1.68871,0.6324,0.7131,0.69703,0.43948,1.43651,1.25226,1.87019,0.00604,0.00604,0.00604
62,1679.53,1.28206,1.29952,1.6872,0.58596,0.74385,0.70585,0.44318,1.42818,1.24001,1.87961,0.005974,0.005974,0.005974
63,1707.56,1.28153,1.29785,1.69583,0.62561,0.69242,0.70201,0.44284,1.4394,1.24721,1.87841,0.005908,0.005908,0.005908
64,1733.52,1.28222,1.29132,1.68642,0.63648,0.6996,0.71058,0.44796,1.43011,1.25673,1.85069,0.005842,0.005842,0.005842
65,1761.94,1.2684,1.28087,1.68184,0.55367,0.75927,0.69021,0.44096,1.44779,1.27112,1.89837,0.005776,0.005776,0.005776
66,1788.81,1.27158,1.27139,1.67674,0.62509,0.71604,0.7088,0.45697,1.41015,1.23963,1.86704,0.00571,0.00571,0.00571
67,1816.6,1.26532,1.27046,1.6758,0.60662,0.72681,0.69292,0.43922,1.43865,1.24594,1.87864,0.005644,0.005644,0.005644
68,1844.06,1.26772,1.26904,1.6757,0.67421,0.68091,0.70879,0.4468,1.43454,1.21646,1.86259,0.005578,0.005578,0.005578
69,1871.18,1.26725,1.27623,1.67518,0.58294,0.74623,0.69446,0.43808,1.4148,1.21503,1.86628,0.005512,0.005512,0.005512
70,1897.31,1.25824,1.26392,1.67268,0.57619,0.69694,0.68935,0.43031,1.44639,1.27692,1.89565,0.005446,0.005446,0.005446
71,1924.59,1.24634,1.25493,1.66045,0.60773,0.73041,0.70735,0.45209,1.41476,1.20015,1.86344,0.00538,0.00538,0.00538
72,1951.45,1.25486,1.25048,1.66194,0.6612,0.69442,0.69804,0.43914,1.43352,1.20848,1.8699,0.005314,0.005314,0.005314
73,1977.76,1.2495,1.25044,1.6546,0.5712,0.72037,0.68923,0.43722,1.43801,1.23528,1.8566,0.005248,0.005248,0.005248
74,2005.24,1.24603,1.23098,1.65081,0.59921,0.70544,0.69746,0.44244,1.43395,1.22515,1.88024,0.005182,0.005182,0.005182
