epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1112.94,1.33863,1.40927,1.77842,0.57102,0.70709,0.65209,0.43136,1.40997,1.29784,1.90059,0.007162,0.007162,0.007162
45,1138.47,1.32709,1.38868,1.76233,0.64044,0.64808,0.67867,0.42644,1.42514,1.32734,1.91749,0.007096,0.007096,0.007096
46,1163.35,1.33576,1.38773,1.76902,0.64269,0.67672,0.69439,0.43609,1.44002,1.31052,1.92268,0.00703,0.00703,0.00703
47,1190.11,1.32759,1.37837,1.76264,0.61694,0.70685,0.69564,0.44598,1.43271,1.27685,1.91648,0.006964,0.006964,0.006964
48,1216.79,1.32671,1.37122,1.75912,0.59373,0.69899,0.683,0.43481,1.41549,1.31123,1.89604,0.006898,0.006898,0.006898
49,1243.66,1.31852,1.35502,1.75104,0.59158,0.67929,0.66237,0.42921,1.43019,1.30997,1.90533,0.006832,0.006832,0.006832
50,1269.99,1.31761,1.36496,1.7516,0.62728,0.66684,0.66845,0.42622,1.44055,1.29528,1.89788,0.006766,0.006766,0.006766
51,1294.46,1.31776,1.35504,1.75105,0.64493,0.66422,0.67696,0.43077,1.42702,1.31866,1.91737,0.0067,0.0067,0.0067
52,1318.84,1.31622,1.3466,1.74828,0.64955,0.65178,0.70059,0.444,1.42951,1.25764,1.9046,0.006634,0.006634,0.006634
53,1345.36,1.30438,1.32718,1.74306,0.6247,0.6929,0.65516,0.42188,1.4228,1.30873,1.92788,0.006568,0.006568,0.006568
54,1370.7,1.30607,1.33827,1.74383,0.60746,0.68436,0.68186,0.44376,1.4344,1.29133,1.91112,0.006502,0.006502,0.006502
55,1395.44,1.29668,1.30755,1.7291,0.60449,0.7272,0.70145,0.46075,1.40322,1.25399,1.86799,0.006436,0.006436,0.006436
56,1420.23,1.29597,1.32316,1.73052,0.65627,0.65671,0.67726,0.43695,1.40404,1.29061,1.88528,0.00637,0.00637,0.00637
57,1445.41,1.29809,1.31409,1.72708,0.62578,0.68938,0.69602,0.44906,1.41687,1.25143,1.90043,0.006304,0.006304,0.006304
58,1469.96,1.29741,1.32298,1.72131,0.60839,0.73207,0.70716,0.44583,1.41606,1.27759,1.90792,0.006238,0.006238,0.006238
59,1494.38,1.28375,1.29141,1.72763,0.62239,0.75367,0.72043,0.46537,1.40158,1.21738,1.87873,0.006172,0.006172,0.006172
60,1519.81,1.28322,1.2976,1.71193,0.61136,0.71526,0.68514,0.44173,1.42734,1.23041,1.88228,0.006106,0.006106,0.006106
61,1545.35,1.2748,1.29109,1.71161,0.63259,0.69889,0.71156,0.46087,1.42977,1.26114,1.90986,0.00604,0.00604,0.00604
62,1571.96,1.27964,1.28217,1.70943,0.62875,0.72825,0.71357,0.45515,1.45005,1.25421,1.91894,0.005974,0.005974,0.005974
63,1596.98,1.2743,1.28498,1.70712,0.6671,0.65241,0.69252,0.44741,1.44041,1.24944,1.88511,0.005908,0.005908,0.005908
64,1622.15,1.27339,1.26789,1.70046,0.7055,0.66112,0.7179,0.45258,1.4446,1.22875,1.89286,0.005842,0.005842,0.005842
65,1647.59,1.2632,1.25956,1.69669,0.6084,0.72225,0.69966,0.44063,1.44007,1.24589,1.90267,0.005776,0.005776,0.005776
66,1672.26,1.26603,1.25515,1.69415,0.57521,0.76679,0.70552,0.45971,1.41569,1.24151,1.896,0.00571,0.00571,0.00571
67,1697.24,1.25648,1.25599,1.68452,0.66881,0.69645,0.71338,0.45224,1.43472,1.22789,1.89489,0.005644,0.005644,0.005644
68,1721.98,1.2579,1.251,1.68903,0.66093,0.72977,0.72413,0.46736,1.43535,1.2202,1.89175,0.005578,0.005578,0.005578
69,1747.03,1.25597,1.25447,1.6887,0.66919,0.69866,0.71262,0.45839,1.43027,1.23276,1.91269,0.005512,0.005512,0.005512
70,1772.64,1.25245,1.24951,1.6892,0.68203,0.68173,0.71071,0.43862,1.46361,1.23699,1.94404,0.005446,0.005446,0.005446
71,1796.82,1.24213,1.23331,1.6789,0.6139,0.76089,0.72072,0.4574,1.44778,1.2067,1.91125,0.00538,0.00538,0.00538
72,1821.61,1.2474,1.22564,1.67862,0.62608,0.75678,0.72294,0.46834,1.42555,1.23128,1.89681,0.005314,0.005314,0.005314
73,1845.75,1.23657,1.2268,1.66822,0.70104,0.64366,0.71588,0.46199,1.4508,1.21434,1.90952,0.005248,0.005248,0.005248
74,1870.85,1.23442,1.2091,1.66867,0.63558,0.7169,0.72206,0.46463,1.44205,1.22054,1.90916,0.005182,0.005182,0.005182
75,1896.63,1.23928,1.21265,1.66291,0.61245,0.77104,0.72298,0.45432,1.44463,1.20134,1.89654,0.005116,0.005116,0.005116
76,1921.7,1.22971,1.20486,1.65965,0.65384,0.69937,0.7011,0.45188,1.4568,1.24115,1.92757,0.00505,0.00505,0.00505
77,1947.1,1.22746,1.19863,1.6589,0.62589,0.73214,0.70369,0.44345,1.46242,1.24542,1.90958,0.004984,0.004984,0.004984
78,1972.89,1.22206,1.18955,1.65464,0.6938,0.66081,0.70127,0.44278,1.4502,1.2579,1.91861,0.004918,0.004918,0.004918
79,1997.92,1.23032,1.19262,1.65797,0.67742,0.67584,0.70897,0.45893,1.45534,1.23811,1.91987,0.004852,0.004852,0.004852
80,2023.41,1.21612,1.18572,1.6451,0.61318,0.71576,0.70463,0.45315,1.43906,1.25866,1.89883,0.004786,0.004786,0.004786
