epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1030.29,1.43118,1.5998,1.88695,0.52488,0.68285,0.62179,0.38877,1.49801,1.49047,2.01375,0.008581,0.008581,0.008581
45,1051.98,1.43649,1.59263,1.89281,0.56055,0.65542,0.62636,0.39188,1.46008,1.50612,2.00551,0.008548,0.008548,0.008548
46,1074.15,1.41365,1.57935,1.87373,0.58507,0.63662,0.63466,0.39991,1.46167,1.49035,1.98651,0.008515,0.008515,0.008515
47,1095.04,1.42876,1.58098,1.87696,0.54629,0.59287,0.58927,0.37015,1.43962,1.53683,1.97962,0.008482,0.008482,0.008482
48,1117.4,1.40896,1.55199,1.86075,0.58213,0.65185,0.62965,0.38439,1.46112,1.48494,1.99387,0.008449,0.008449,0.008449
49,1141.08,1.42016,1.57871,1.8742,0.53569,0.67107,0.62682,0.38866,1.46557,1.46777,1.98636,0.008416,0.008416,0.008416
50,1165.03,1.41269,1.54814,1.85129,0.55025,0.65595,0.63104,0.40272,1.42977,1.45552,1.98307,0.008383,0.008383,0.008383
51,1183.56,1.4061,1.56849,1.86158,0.49874,0.61914,0.60108,0.37921,1.47743,1.50861,2.00166,0.00835,0.00835,0.00835
52,1201.71,1.38596,1.53349,1.83976,0.55333,0.68014,0.6325,0.39932,1.45871,1.44775,2.00118,0.008317,0.008317,0.008317
53,1219.58,1.39727,1.52774,1.84607,0.55579,0.63945,0.6216,0.38544,1.45825,1.51406,1.9793,0.008284,0.008284,0.008284
54,1238.06,1.39508,1.50541,1.84686,0.55104,0.66786,0.63355,0.39725,1.46592,1.43257,1.99253,0.008251,0.008251,0.008251
55,1256.64,1.40812,1.51478,1.85197,0.57471,0.72529,0.65739,0.40843,1.46989,1.40339,1.97116,0.008218,0.008218,0.008218
56,1274.77,1.40445,1.50411,1.8445,0.54738,0.68012,0.63423,0.39575,1.46273,1.46781,1.96351,0.008185,0.008185,0.008185
